>>> roachprod start: Thu Sep 10 20:53:09 UTC 2020
  PID COMMAND
  133 [bioset]
  134 [bioset]
  135 [bioset]
  136 [bioset]
  137 [bioset]
  138 [bioset]
  139 [kworker/0:1]
  140 [bioset]
  141 [bioset]
  142 [bioset]
  143 [bioset]
  144 [bioset]
  145 [bioset]
  146 [bioset]
  147 [bioset]
  148 [bioset]
  149 [bioset]
  153 [ipv6_addrconf]
  167 [deferwq]
  174 [kworker/3:1]
  189 [kworker/4:2]
  206 [nvme]
  238 [ena]
  285 [kworker/7:1]
  286 [kworker/12:1]
  287 [kworker/5:1]
  288 [kworker/14:1]
  289 [bioset]
  291 [bioset]
  297 [bioset]
  298 [bioset]
  311 [kworker/8:1]
  312 [kworker/11:1]
  313 [kworker/13:1]
  372 [raid5wq]
  398 [bioset]
  421 [jbd2/nvme0n1p1-]
  422 [ext4-rsv-conver]
  487 [iscsi_eh]
  500 [ib_addr]
  505 [ib_mcast]
  506 [ib_nl_sa_wq]
  507 [ib_cm]
  510 [iw_cm_wq]
  515 [rdma_cm]
  522 /lib/systemd/systemd-journald
  527 [kauditd]
  551 /sbin/lvmetad -f
  558 [kworker/1:2]
  577 /lib/systemd/systemd-udevd
  879 [kworker/2:1H]
  880 [kworker/0:1H]
  884 [kworker/4:1H]
  885 [kworker/5:1H]
  886 [kworker/6:1H]
  887 [kworker/7:1H]
  888 [kworker/12:1H]
  889 [kworker/13:1H]
  890 [kworker/14:1H]
  891 [kworker/15:1H]
  961 /lib/systemd/systemd-timesyncd
  991 [kworker/8:1H]
 1044 [kworker/2:2]
 1071 [kworker/9:2]
 1073 [kworker/10:1H]
 1081 [kworker/11:1H]
 1090 [kworker/6:2]
 1112 /sbin/dhclient -1 -v -pf /run/dhclient.ens5.pid -lf /var/lib/dhcp/dhclient.ens5.leases -I -df /var/lib/dhcp/dhclient6.ens5.leases ens5
 1167 [kworker/1:1H]
 1168 [kworker/3:1H]
 1173 [kworker/9:1H]
 1268 /sbin/iscsid
 1269 /sbin/iscsid
 1273 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
 1280 /lib/systemd/systemd-logind
 1285 /usr/bin/lxcfs /var/lib/lxcfs/
 1287 /usr/sbin/atd -f
 1290 /usr/sbin/rsyslogd -n
 1301 /usr/sbin/acpid
 1341 /usr/sbin/cron -f
 1345 /usr/lib/snapd/snapd
 1352 /usr/lib/accountsservice/accounts-daemon
 1385 /sbin/mdadm --monitor --pid-file /run/mdadm/monitor.pid --daemonise --scan --syslog
 1390 /usr/lib/policykit-1/polkitd --no-debug
 1459 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
 1461 /sbin/agetty --keep-baud 115200 38400 9600 ttyS0 vt220
 1462 /sbin/agetty --noclear tty1 linux
 1849 [kworker/0:3]
 2074 [kworker/13:2]
 2133 [kworker/7:3]
 2134 [kworker/15:2]
 2182 [kworker/12:2]
 2322 [kworker/11:2]
 2371 [kworker/10:3]
 2657 [kworker/3:3]
 2660 [jbd2/nvme1n1-8]
 2661 [ext4-rsv-conver]
 2743 [kworker/2:3]
 3803 /usr/sbin/chronyd
 3900 [kworker/15:3]
 4142 [kworker/6:3]
 4509 /usr/sbin/sshd -D
 4732 [kworker/9:3]
 4733 [kworker/14:2]
 4734 [kworker/1:3]
 4791 [kworker/5:3]
 4805 [kworker/12:0]
 4845 [kworker/5:0]
 4848 [kworker/4:0]
 4849 [kworker/1:0]
 4850 [kworker/u32:2]
 4918 sshd: ubuntu [priv]
 4921 [kworker/6:0]
 4922 /lib/systemd/systemd --user PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin NOTIFY_SOCKET=/run/systemd/notify HOME=/home/ubuntu LOGNAME=ubuntu USER=ubuntu SHELL=/bin/bash XDG_RUNTIME_DIR=/run/user/1000
 4925 (sd-pam)
 4958 sshd: ubuntu@notty
 4959 bash -c  ??ulimit -c unlimited; mkdir -p ${HOME}/logs; ??echo ">>> roachprod start: $(date)" >> ${HOME}/logs/roachprod.log; ??ps axeww -o pid -o command >> ${HOME}/logs/roachprod.log; ??[ -x /usr/bin/lslocks ] && /usr/bin/lslocks >> ${HOME}/logs/roachprod.log;  ??export ROACHPROD=9; ??GOTRACEBACK=crash COCKROACH_SKIP_ENABLING_DIAGNOSTIC_REPORTING=1 COCKROACH_DEV_LICENSE=crl-0-EJL04ukFGAEiI0NvY2tyb2FjaCBMYWJzIC0gUHJvZHVjdGlvbiBUZXN0aW5n COCKROACH_ENABLE_RPC_COMPRESSION=false \ ??./cockroach start --background --insecure --store=path=/mnt/data1/cockroach --log-dir=${HOME}/logs --cache=25% --max-sql-memory=25% --port=26257 --http-port=26258 --locality=cloud=aws,region=us-east-2,zone=us-east-2b --join=18.191.252.183:26257 --advertise-host=$(hostname -I | awk '{print $1}') >> ${HOME}/logs/cockroach.stdout.log \ ??                 2>> ${HOME}/logs/cockroach.stderr.log \ ???|| (x=$?; cat ${HOME}/logs/cockroach.stderr.log; exit $x) LANG=en_US.UTF-8 LC_ADDRESS=en_US.UTF-8 LC_IDENTIFICATION=en_US.UTF-8 LC_MEASUREMENT=en_US.UTF-8 LC_MONETARY=en_US.UTF-8 LC_NAME=en_US.UTF-8 LC_NUMERIC=en_US.UTF-8 LC_PAPER=en_US.UTF-8 LC_TELEPHONE=en_US.UTF-8 LC_TIME=en_US.UTF-8 USER=ubuntu LOGNAME=ubuntu HOME=/home/ubuntu PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games MAIL=/var/mail/ubuntu SHELL=/bin/bash SSH_CLIENT=149.248.186.137 43440 22 SSH_CONNECTION=149.248.186.137 43440 10.12.16.139 22 XDG_SESSION_ID=46 XDG_RUNTIME_DIR=/run/user/1000
 4963 ps axeww -o pid -o command LC_PAPER=en_US.UTF-8 XDG_SESSION_ID=46 LC_ADDRESS=en_US.UTF-8 LC_MONETARY=en_US.UTF-8 SHELL=/bin/bash SSH_CLIENT=149.248.186.137 43440 22 LC_NUMERIC=en_US.UTF-8 USER=ubuntu LC_TELEPHONE=en_US.UTF-8 MAIL=/var/mail/ubuntu PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games LC_IDENTIFICATION=en_US.UTF-8 PWD=/home/ubuntu LANG=en_US.UTF-8 LC_MEASUREMENT=en_US.UTF-8 SHLVL=1 HOME=/home/ubuntu LOGNAME=ubuntu SSH_CONNECTION=149.248.186.137 43440 10.12.16.139 22 XDG_RUNTIME_DIR=/run/user/1000 LC_TIME=en_US.UTF-8 LC_NAME=en_US.UTF-8 _=/bin/ps
COMMAND           PID  TYPE SIZE MODE  M START END PATH
iscsid           1269 POSIX   0B WRITE 0     0   0 /run
lvmetad           551 POSIX   0B WRITE 0     0   0 /run
cron             1341 FLOCK   0B WRITE 0     0   0 /run
lxcfs            1285 POSIX   0B WRITE 0     0   0 /run
atd              1287 POSIX   0B WRITE 0     0   0 /run
